#,Company,Symbol,Weight,      Price,Chg,% Chg
347,Cms Energy Corp,CMS,0.049151,   58.08,-0.55,(-0.94%)
348,Nvr Inc,NVR,0.04867,"   5,543.48",-67.8,(-1.21%)
349,Mid America Apartment Comm,MAA,0.048607,   146.21,-0.01,(-0.01%)
350,Conagra Brands Inc,CAG,0.047989,   35.11,-0.11,(-0.30%)
351,Atmos Energy Corp,ATO,0.047965,   116.47,0.07,-0.06%
352,Regions Financial Corp,RF,0.047637,   17.73,0.06,-0.34%
353,Molina Healthcare Inc,MOH,0.047444,   281.95,-2.9,(-1.02%)
354,Cincinnati Financial Corp,CINF,0.046827,   100.72,-1.99,(-1.94%)
355,Tyler Technologies Inc,TYL,0.046698,   376.66,-13.4,(-3.45%)
356,Solaredge Technologies Inc,SEDG,0.046499,   286.55,-2.4,(-0.83%)
357,Howmet Aerospace Inc,HWM,0.046296,   43.80,0.03,-0.07%
358,Skyworks Solutions Inc,SWKS,0.046284,   99.00,-1.83,(-1.81%)
359,Principal Financial Group,PFG,0.046097,   68.61,-1.88,(-2.67%)
360,Garmin Ltd,GRMN,0.045986,   103.23,-0.82,(-0.79%)
361,Jm Smucker Co,SJM,0.045938,   148.60,-0.81,(-0.54%)
362,Targa Resources Corp,TRGP,0.04592,   70.82,-0.14,(-0.20%)
363,Iron Mountain Inc,IRM,0.045781,   53.89,-0.82,(-1.49%)
364,Steel Dynamics Inc,STLD,0.04572,   93.31,-2.53,(-2.65%)
365,Waters Corp,WAT,0.045578,   259.30,-6.62,(-2.49%)
366,Lamb Weston Holdings Inc,LW,0.045192,   109.29,-0.59,(-0.53%)
367,United Airlines Holdings Inc,UAL,0.044969,   46.87,-1,(-2.09%)
368,Idex Corp,IEX,0.044121,   200.20,-4.39,(-2.14%)
369,Northern Trust Corp,NTRS,0.043765,   70.72,-2.23,(-3.06%)
370,Revvity Inc,RVTY,0.043738,   117.21,-3.09,(-2.57%)
371,Amcor Plc,AMCR,0.04359,   10.11,-0.01,(-0.06%)
